loss	d_loss	rec_loss	
3.378730	1.462595	1.916135	
3.380536	1.462624	1.917912	
3.378745	1.462550	1.916195	
3.378284	1.462564	1.915720	
3.378643	1.462595	1.916047	
3.379714	1.462586	1.917129	
3.380330	1.462623	1.917708	
3.378736	1.462611	1.916125	
3.377643	1.462662	1.914981	
3.379073	1.462541	1.916532	
3.377395	1.462533	1.914861	
3.378366	1.462529	1.915837	
3.379563	1.462553	1.917009	
3.379002	1.462595	1.916408	
3.379824	1.462577	1.917246	
3.376252	1.462509	1.913744	
3.375342	1.462528	1.912814	
3.376839	1.462520	1.914319	
3.376749	1.462487	1.914263	
3.376051	1.462468	1.913583	
3.378107	1.462533	1.915573	
3.379082	1.462498	1.916584	
3.375588	1.462498	1.913090	
3.375583	1.462492	1.913091	
3.374953	1.462461	1.912492	
3.375081	1.462488	1.912593	
3.376207	1.462542	1.913665	
3.375209	1.462494	1.912714	
3.374773	1.462538	1.912235	
3.376126	1.462498	1.913628	
3.374315	1.462463	1.911852	
3.376282	1.462520	1.913762	
3.373669	1.462464	1.911205	
3.374094	1.462451	1.911643	
3.374865	1.462475	1.912390	
3.373826	1.462461	1.911365	
3.375610	1.462469	1.913141	
3.372959	1.462397	1.910561	
3.376863	1.462458	1.914405	
3.375027	1.462499	1.912529	
3.372668	1.462406	1.910262	
3.374476	1.462444	1.912032	
3.374887	1.462499	1.912388	
3.373762	1.462444	1.911318	
3.375567	1.462432	1.913136	
3.375754	1.462470	1.913284	
3.372750	1.462410	1.910341	
3.371572	1.462461	1.909112	
3.374885	1.462498	1.912387	
3.372709	1.462425	1.910283	
3.373179	1.462461	1.910717	
3.374409	1.462413	1.911996	
3.374345	1.462417	1.911928	
3.372921	1.462459	1.910462	
3.372800	1.462438	1.910362	
3.373384	1.462389	1.910996	
3.370758	1.462371	1.908387	
3.372955	1.462420	1.910535	
3.372099	1.462416	1.909683	
3.371991	1.462400	1.909590	
3.371505	1.462400	1.909105	
3.372532	1.462388	1.910144	
3.372241	1.462360	1.909881	
3.372499	1.462413	1.910086	
3.370973	1.462325	1.908648	
3.372504	1.462334	1.910170	
3.371652	1.462358	1.909294	
3.372758	1.462332	1.910426	
3.372047	1.462322	1.909725	
3.371807	1.462339	1.909468	
3.372760	1.462333	1.910427	
3.370610	1.462379	1.908232	
3.372846	1.462271	1.910574	
3.370775	1.462323	1.908452	
3.372978	1.462371	1.910607	
3.371150	1.462358	1.908791	
3.370657	1.462331	1.908326	
3.372662	1.462315	1.910346	
3.370713	1.462342	1.908371	
3.371799	1.462293	1.909507	
3.372338	1.462327	1.910011	
3.372666	1.462329	1.910338	
3.370515	1.462301	1.908214	
3.370052	1.462296	1.907756	
3.370401	1.462281	1.908120	
3.371115	1.462281	1.908835	
3.373207	1.462346	1.910860	
3.370657	1.462318	1.908339	
3.371683	1.462275	1.909408	
3.370431	1.462294	1.908138	
3.370419	1.462313	1.908106	
3.370567	1.462335	1.908232	
3.369340	1.462283	1.907058	
3.371669	1.462260	1.909409	
3.370091	1.462312	1.907779	
3.371235	1.462255	1.908980	
3.370609	1.462307	1.908302	
3.371399	1.462230	1.909169	
3.369694	1.462295	1.907400	
3.370056	1.462247	1.907809	
